sku,product_type,attribute set,Brand,name,Wheel Diameter,Wheel Width,PCD,Centre Bore,Offset,Source Price,Cost Currency,EAN,Search Colour 1,Search Colour 2,Search Colour 3,Style 1,Style 2,Style 3,description,short_description,Image 1,Image 2,Image 3,Video,tax_class_id,status,visibility,weight,Load Rating,Wheel Construction,Purpose,Warehouse Location,TUV Available,Warranty
,Configurable,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,,,,,,,,,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,,,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x100,72.1,35,103.50,USD,894732105611,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x108,72.1,40,103.50,USD,894732105634,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x112,72.1,32,103.50,USD,894732105658,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x112,72.1,45,103.50,USD,894732105672,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x114.3,76.1,40,103.50,USD,894732105696,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,17,8,5x120,76.1,35,103.50,USD,894732105719,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,10.80,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,18,8.5,5x100,72.1,35,126.00,USD,894732105733,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,11.70,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,18,8.5,5x108,72.1,43,126.00,USD,894732105757,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,11.70,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
,Simple,Alloys,TSW,Ascent Matt Gunmetal W/Gloss Black Face,18,8.5,5x112,72.1,32,126.00,USD,894732105771,Gunmetal,Matt Gunmetal,,5 Spoke ,Concave,,,,TSW-Ascent-MattGunmetalGlossBlackFace-1,TSW-Ascent-MattGunmetalGlossBlackFace-2,,,2,Enabled,Visible,11.70,900,Monoblock,Ideal for everyday driving,USA - 3-5 Days,No,
